OBJECTID,EASTING,NORTHING
381,549814,186351
382,549649,185822
383,549805,185927
384,549655,186077
385,549655,186077
386,549884,185832
387,549411,185899
388,549607,185833
389,549411,185899
390,549411,185899
391,549411,185899
392,549411,185899
393,549620,185866
394,549411,185899
395,549607,185833
396,549620,185866
397,549411,185899
398,549525,186271
399,549655,186077
400,549655,186077
401,549411,185899
402,549790,186287
403,548423,185962
404,548957,186088
405,548615,185897
406,548889,185915
407,548889,185915
408,548889,185915
409,548809,185937
410,548889,185915
411,548889,185915
412,548889,185915
413,548527,185906
414,548651,185926
415,549021,186119
416,548423,185962
417,548423,185962
418,548988,185966
419,548510,185812
420,549021,186119
421,549021,186119
422,547900,185939
423,547816,185613
424,548045,186070
425,547982,185823
426,547901,185757
427,548045,186070
428,547982,185823
429,547865,186024
430,547982,185823
431,548046,186059
432,548046,186059
433,547900,185939
434,548045,186070
435,548066,185708
436,547963,185473
437,547963,185473
438,547793,185513
439,547719,185486
440,547719,185486
441,547719,185486
442,547963,185473
443,548434,185445
444,548136,185718
445,548342,185558
446,548378,185449
447,548683,185535
448,548378,185833
449,548547,185562
450,548358,186104
451,548358,186104
452,548667,186206
453,548667,186206
454,548358,186104
455,548107,186156
456,548113,185890
457,548466,186160
458,548667,186206
459,548113,185890
460,548228,186088
461,548667,186206
462,548200,185953
463,548200,185953
464,548559,186087
465,548107,186156
466,548200,185953
467,548667,186206
468,548300,186253
469,548579,186183
470,548579,186183
471,548466,186160
472,547553,186016
473,547390,185744
474,547553,186016
475,547553,186016
476,547633,186000
477,547390,185744
478,547633,186000
479,547485,185938
480,547694,186007
481,547553,186016
482,547633,186000
483,547673,186222
484,547663,186461
485,548063,186238
486,547687,186355
487,547644,186290
488,548216,186265
489,547934,186340
490,547934,186340
491,547934,186340
492,547912,186449
493,547934,186340
494,547934,186340
495,548059,186744
496,547016,186205
497,546841,186105
498,546778,185751
499,547016,186205
500,546841,186105
501,546715,185978
502,546715,185978
503,546749,186333
504,546715,185978
505,546778,185751
506,546715,185978
507,546715,185978
508,547391,186134
509,547391,186134
510,547331,186086
511,547083,185961
512,547331,186086
513,547270,186099
514,547120,186050
515,547391,186134
516,547001,186039
517,546627,185878
518,546627,185878
519,546234,185605
520,546492,185709
521,546492,185709
522,546627,185878
523,546492,185709
524,546627,185878
296,549028,186685
297,549028,186685
298,549028,186685
299,549254,186388
300,549028,186685
301,549028,186685
302,549028,186685
303,549028,186685
304,549028,186685
305,549028,186685
306,549028,186685
307,549028,186685
308,549186,186310
309,549028,186685
310,549186,186310
311,549165,186869
312,549414,186973
313,549414,186973
314,549278,186802
315,549423,186736
316,549423,186736
317,549278,186802
318,549278,186802
319,549414,186973
320,549414,186973
321,549183,186929
322,549423,186736
323,549278,186802
324,549423,186736
325,549278,186802
326,549423,186736
327,549810,187078
328,549810,187078
2860,519231,191765
2861,519469,191857
2862,519469,191857
2863,519231,191765
2864,519406,191869
2865,519469,191857
2866,519469,191857
2867,519469,191857
2868,519469,191857
2869,519504,191935
2870,519231,191765
2871,519469,191857
2872,519469,191857
2873,519469,191857
2874,519469,191857
2875,519276,191821
2876,519236,191833
2877,519128,192163
2878,519504,191935
2879,519469,191857
2880,519504,191280
2881,519690,191477
2882,519223,191639
2883,519504,191280
2884,519504,191280
2885,519702,191985
2886,519504,191280
2887,519482,191456
2888,519368,191445
2889,519223,191639
2890,519691,191298
2891,519223,191639
2892,519223,191639
2893,519307,191761
2894,519223,191639
2895,519776,191493
2896,519307,191761
2897,519307,191761
2898,519315,191586
2899,519315,191586
2900,519315,191586
2901,519627,191424
2902,519315,191586
2903,519223,191639
2904,519702,191985
2905,519223,191639
2906,519223,191639
2907,519702,191985
2908,519627,191424
2909,519223,191639
2910,519702,191985
2911,519993,191537
2912,520461,191676
2913,519993,191537
2914,519993,191537
2915,520126,191582
2916,520461,191676
2917,520300,191595
2918,520221,191550
2919,520040,191666
2920,520461,191676
2921,520221,191550
2922,520411,191668
2923,520040,191666
2924,520126,191582
2925,520293,192026
2926,520000,192118
2927,520000,192118
2928,520293,192026
2929,526311,192383
2930,526359,192118
2931,526311,192383
2932,526311,192383
2933,526311,192383
2934,526316,191885
2935,526359,192118
2936,526311,192383
2937,526311,192383
2938,526287,191972
2939,526311,192383
2940,526288,192122
2941,526334,192025
2942,526311,192383
2943,526306,192357
2944,526197,192213
2945,526177,192412
2946,526245,191819
2947,526390,192081
2948,526390,192081
2949,526288,192122
2950,526334,192025
2951,526306,192357
2952,526264,192167
2953,526306,192357
2954,526311,192383
2955,526306,192357
2956,526359,192118
2957,526390,192081
2958,526288,192122
2959,526306,192357
2960,526306,192357
