OBJECTID,EASTING,NORTHING
1,546492,185709
2,546492,185709
3,546627,185878
4,546627,185878
5,546627,185878
6,546627,185878
7,546492,185709
8,547286,185529
9,546907,185805
10,547251,185780
11,547182,185539
12,546907,185805
13,546907,185805
14,546907,185805
15,546907,185805
16,547078,185552
17,546856,185507
18,546950,185450
19,546861,185593
20,546861,185593
21,547157,185435
22,546861,185593
23,546944,185418
24,547518,185670
25,547596,185600
26,547311,185629
27,547311,185629
28,547311,185629
29,547518,185670
30,547603,185553
31,547521,185341
32,547518,185670
33,547790,185801
34,547790,185801
35,547790,185801
36,547790,185801
37,547790,185801
38,547790,185801
39,547790,185801
40,547790,185801
41,547790,185801
42,549692,184964
43,549328,185121
44,549500,184895
45,549544,185141
46,549692,184964
47,549692,184964
48,549692,184964
49,549500,184895
50,549692,184964
51,549500,184895
52,549692,184964
53,549544,185141
54,549692,184964
55,549692,184964
56,549744,185125
57,549500,184895
58,549328,185121
59,549544,185141
60,549692,184964
61,549500,184895
62,549744,185125
63,549759,185233
64,549500,184895
65,548161,189365
66,548000,189849
67,548000,189849
68,548161,189365
69,548161,189365
70,548161,189365
71,547882,189696
72,548409,189345
73,548066,189770
74,548382,189220
75,548052,189508
76,548052,189508
77,548349,189976
78,548382,189220
79,548096,189980
80,548349,189976
81,548382,189220
82,548052,189508
83,548108,189869
84,548161,189365
85,547718,189633
86,547718,189633
87,547718,189633
88,547718,189633
89,547718,189633
90,547718,189633
91,547718,189633
92,547712,189667
93,547517,189404
94,547505,189552
95,547505,189552
96,547712,189667
97,547718,189633
98,547626,189352
99,548341,188933
100,547585,189120
101,547871,188712
102,547671,189254
103,548043,188785
104,547585,189120
105,547907,188898
106,547757,189209
107,547671,189254
108,547585,189120
109,547721,189393
110,547914,189067
111,548341,188933
112,548043,188785
113,547991,188990
114,548404,189086
115,548159,189061
116,548159,189061
117,548159,189061
118,548042,189448
119,548042,189448
120,548042,189448
121,547861,189536
122,548014,189352
123,548042,189448
124,548404,189086
125,547920,189368
126,548404,189086
127,547913,189634
128,548255,188638
129,548240,188469
130,548392,188581
131,547891,188014
132,548118,188473
133,548114,188712
134,548118,188473
135,548114,188712
136,548047,188041
137,548047,188041
138,548245,188227
139,547891,188014
140,548047,188041
141,548047,188041
142,548069,188024
143,548047,188041
144,548047,188041
145,547976,188204
146,548085,188373
147,547891,188014
148,548118,188473
149,548114,188712
150,548047,188041
151,548002,188671
152,548047,188041
153,548002,188671
154,547999,188439
155,548562,188296
156,548883,188071
157,548969,188208
158,548569,188398
159,548735,188317
160,548883,188071
161,548981,188122
162,548745,188187
163,548888,188324
164,548745,188187
165,548808,188331
166,548619,187952
167,548619,187952
168,548832,187371
169,548657,187654
170,548469,187800
171,548783,187484
172,548724,187979
173,548657,187654
174,548954,187677
175,548619,187952
176,548954,187677
177,548832,187371
178,548724,187979
179,548657,187654
180,548954,187677
181,548619,187952
182,548619,187952
183,548960,187597
184,548652,188271
185,548724,187979
186,548663,188303
187,548657,187654
188,548783,187484
189,548883,187629
190,548791,187770
191,548657,187654
192,548783,187484
193,548783,187484
194,548783,187484
195,548185,187868
196,548185,187868
197,548539,188099
198,548315,188073
199,548185,187868
200,548365,187655
201,548539,188099
202,548539,188099
203,548539,188099
204,548315,188073
205,547789,187494
206,548315,188073
207,547789,187494
208,547879,187932
209,547703,187686
210,547818,187693
211,547971,187932
212,548102,187791
213,547879,187932
214,547765,187774
215,547879,187932
216,547703,187686
217,548106,187733
218,548106,187733
219,547778,187825
220,548102,187791
221,547778,187825
222,547879,187932
223,547754,187693
224,548122,187981
225,547778,187825
226,547818,187693
227,547703,187686
228,547818,187693
229,550431,186286
230,550905,186602
231,550300,186240
232,550852,186375
233,550830,186844
234,550830,186844
235,551106,186656
236,550830,186844
237,550747,186249
238,550830,186844
239,550288,186100
240,550404,186115
241,550389,186200
242,550852,186375
243,551271,187143
244,551271,187143
245,551097,187166
246,550967,186742
247,550967,186742
248,550979,186816
249,550884,187305
250,550462,187109
251,550682,187199
252,550884,187305
253,550796,187171
254,551072,187353
255,550655,186992
256,551333,186709
257,551333,186709
258,551145,186579
259,551209,186872
260,551274,186235
261,548687,186014
262,548999,186323
263,548999,186323
264,548842,186083
265,548687,186014
266,548738,186430
267,548519,186376
268,548256,186756
269,548256,186756
270,548323,186733
271,548223,186626
272,548460,186784
273,548460,186784
274,548460,186784
275,548223,186626
276,548256,186756
277,548460,186784
278,548519,186376
279,548223,186626
280,548886,186556
281,548819,186849
282,548479,186504
283,548886,186556
284,548915,186695
285,548915,186695
286,548604,186569
287,548915,186695
288,548985,186690
289,548985,186690
290,548985,186690
291,548819,186849
292,548819,186849
293,548787,186584
294,548825,186528
295,548787,186584
296,548819,186849
297,548819,186849
298,548915,186695
299,548819,186849
300,548578,186872
301,548638,187062
302,548290,187052
303,548578,186872
304,548171,186958
305,548578,186872
306,548566,187183
307,548360,186968
308,548758,187268
309,548758,187268
310,548360,186968
311,548578,186872
312,548560,187066
313,548360,186968
314,548566,187183
315,548566,187183
316,548360,186968
317,548560,187066
318,548206,186964
319,548290,187052
320,548845,187162
321,549022,187051
322,549136,187417
323,548965,187443
324,548988,187379
325,548998,187096
326,548920,187289
327,549100,187277
328,549028,187177
329,548845,187162
330,549002,186954
331,549002,186954
332,549020,187246
333,549129,186932
334,549129,186932
335,549022,187051
336,548969,187037
337,548969,187037
338,549028,187177
339,548845,187162
340,549002,186954
341,550230,186303
342,549993,186062
343,549951,186206
344,550099,186141
345,550230,186303
346,549951,186206
347,550230,186303
348,549951,186206
349,550099,186141
350,550292,186375
351,549254,186388
352,549186,186310
353,549304,186370
354,548975,186519
355,549141,186611
356,549135,186431
357,549186,186310
358,549028,186685
359,549028,186685
360,549028,186685
361,549392,186634
362,548970,186568
363,548970,186568
364,549135,186431
365,549028,186685
366,548975,186519
367,549193,186677
368,548975,186519
369,548975,186519
370,549278,186802
371,549165,186869
372,549423,186736
373,549165,186869
374,549815,187041
375,549414,186973
376,549598,187132
377,549598,187132
378,549598,187132
379,549598,187132
380,549278,186802
381,549191,186821
382,549414,186973
383,549414,186973
384,549165,186869
385,549183,186929
386,549278,186802
387,549183,186929
388,549183,186929
389,549414,186973
390,549191,186821
391,549183,186929
392,549414,186973
393,549191,186821
394,549414,186973
395,549230,186077
396,549230,186077
397,549380,186159
398,549453,186075
399,549137,185828
400,549286,185799
401,549127,186189
402,549380,186159
403,549269,185902
404,549269,185902
405,549269,185902
406,549380,186159
407,549286,185799
408,549453,186075
409,549286,185799
410,549286,185799
411,549286,185799
412,549230,186077
413,549562,186084
414,549374,185985
415,549030,185858
416,549321,186252
417,549374,185985
418,549286,185799
419,549286,185799
420,549286,185799
421,549286,185799
422,549230,186077
423,549286,185799
424,549884,185832
425,549805,185927
426,549620,185866
427,549655,186077
428,549411,185899
429,549884,185832
430,549805,185927
431,549525,186271
432,549737,186458
433,549525,186271
434,549411,185899
435,549655,186077
436,549620,185866
437,549411,185899
438,549620,185866
439,549649,185822
440,549607,185833
441,549649,185822
442,549411,185899
443,549790,186287
444,549655,186077
445,549607,185833
446,548423,185962
447,548889,185915
448,548615,185897
449,548889,185915
450,548889,185915
451,548651,185926
452,548817,185847
453,548614,186033
454,548988,185966
455,548614,186033
456,547865,186024
457,547982,185823
458,547900,185939
459,548046,186059
460,547816,185613
461,548045,186070
462,547865,186024
463,548045,186070
464,547900,185939
465,547901,185757
466,548046,186059
467,547865,186024
468,547901,185757
469,547816,185613
470,548046,186059
471,547901,185757
472,548045,186070
473,548045,186070
474,548046,186059
475,547719,185486
476,547793,185513
477,547963,185473
478,547681,185432
479,547963,185473
480,547772,185372
481,547963,185473
482,547963,185473
483,547623,185324
484,547963,185473
485,547963,185473
486,548066,185708
487,547623,185324
488,547963,185473
489,548066,185708
490,548378,185833
491,548342,185558
492,548136,185718
493,548378,185833
494,548358,186104
495,548358,186104
496,548300,186253
497,548300,186253
498,548200,185953
499,548200,185953
500,548113,185890
501,548228,186088
502,548113,185890
503,548113,185890
504,548667,186206
505,548300,186253
506,547633,186000
507,547455,185993
508,547781,186015
509,547633,186000
510,547633,186000
511,547553,186016
512,547781,186015
513,547455,185993
514,547912,186449
515,547934,186340
516,547687,186355
517,547687,186355
518,548216,186265
519,547912,186449
520,548216,186265
521,548059,186744
522,548216,186265
523,548063,186238
524,546749,186333
525,546749,186333
1582,545187,183145
1583,545572,182345
1584,546578,182558
1585,545765,182421
1586,545893,182742
1587,545705,183274
1588,546188,182785
1589,545371,182746
1590,546188,182785
1591,546354,182725
1592,546099,181856
1593,545371,182746
1594,546532,182601
1595,544985,183120
1596,545572,182345
1597,545371,182746
1598,545166,183063
1599,546099,181856
1600,545187,183145
1601,546431,182594
1602,545453,182997
1603,545187,183145
1604,545187,183145
1605,545166,183063
1606,548664,183694
1607,548664,183694
1608,548509,183654
1609,548509,183654
1610,548592,183791
1611,548729,183624
1612,548729,183624
1613,548509,183654
1614,548592,183791
1615,548939,183613
1616,548939,183613
1617,548939,183613
1618,548695,183709
1619,548592,183791
1620,548509,183654
1621,548664,183694
1622,548664,183694
1623,548664,183694
1624,549006,183740
1625,548939,183613
1626,549006,183740
1627,549341,183557
1628,549341,183557
1629,549101,183825
1630,549101,183825
1631,549159,183957
1632,549492,183811
1633,549159,183957
1634,549225,183573
1635,549098,183752
1636,549192,183878
1637,549386,183698
1638,549110,183624
1639,549341,183557
1640,549341,183557
1641,549081,183609
1642,549159,183957
1643,549081,183609
1644,549110,183624
1645,549098,183752
1646,549098,183752
2237,520947,193426
2238,521180,193498
2239,521038,193209
2240,521061,193302
2241,521059,193110
2242,521372,193217
2243,521349,193567
2244,521349,193567
2245,521059,193110
2246,522155,195593
2247,522832,195941
2248,522155,195593
2249,522501,195883
2250,521841,195142
2251,521879,195801
2252,520891,195222
2253,522526,196366
2254,521879,195801
2255,520891,195222
2256,521841,195142
2257,521841,195142
2258,520891,195222
2259,522090,195574
2260,523745,194380
2261,524710,194479
2262,524661,194100
2263,524654,194671
2264,525017,194070
2265,524779,194381
2266,524710,194479
2267,525741,193894
2268,525468,193761
2269,525468,193761
2270,525468,193761
2271,525741,193894
2272,523434,196034
2273,523651,195776
2274,523651,195776
2275,523434,196034
2276,523434,196034
2277,523434,196034
2278,523434,196034
2279,523434,196034
2280,523407,195824
2281,523407,195824
2282,522829,195824
2283,521134,194970
2284,520891,194898
2285,521820,194935
2286,523110,195941
2287,527870,193214
2288,527711,193164
2289,527816,193135
2290,527226,193193
2291,526920,193567
2292,527061,193175
2293,527306,193218
2294,527102,193338
2295,527306,193218
2296,527509,193197
2297,527401,193221
2298,527380,192973
2299,527380,192973
2300,527380,192973
2301,527472,193988
2302,527472,193988
2303,527472,193988
2304,527674,193506
2305,527472,193988
2306,527674,193506
2307,527674,193506
2308,527786,193384
2309,527786,193384
2310,527298,193872
2311,527518,193906
2312,527470,193644
2313,527472,193988
2314,527518,193906
2315,527445,193794
2316,527312,193701
2317,527518,193906
2318,527786,193384
2319,527518,193906
2320,527518,193906
2321,526567,192737
2322,526928,192537
2323,526821,192664
2324,526633,192840
2325,526928,192537
2326,526821,192664
2327,526387,193021
2328,526633,192840
2329,526625,192384
2330,526625,192384
2331,527030,192397
2332,527030,192397
2333,526625,192384
2334,526625,192384
2335,526369,192583
2336,526751,192527
2337,526793,192351
2338,526801,192443
2339,526369,192583
2340,526751,192527
2341,526751,192527
2342,526369,192583
2343,527030,192397
2344,526751,192527
2345,527030,192397
2346,526801,192443
2347,526793,192351
2348,525688,193031
2349,525754,193136
2350,525754,193136
2351,525365,192869
2352,525474,192762
2353,526059,192710
2354,525997,192483
2355,525925,192542
2356,525909,192621
2357,525797,192812
2358,525797,192812
2359,525900,192386
2360,525781,193582
2361,526428,193396
2362,526377,193592
2363,526428,193396
2364,526428,193396
2365,526428,193396
2366,526428,193396
2367,526428,193396
2368,526377,193592
2369,526068,193178
2370,526039,193194
2371,526134,193067
2372,526096,192906
2373,526427,193117
2374,526214,192521
2375,526265,193146
2376,526427,193117
2377,526214,192521
2378,526247,193058
2379,526214,192521
2380,526214,192521
2381,526251,192834
2382,526181,193086
2383,526214,192521
2384,520203,193990
2385,520031,193862
2386,520031,193862
2387,520031,193862
2388,520031,193862
2389,519763,193781
2390,520031,193862
2391,520203,193990
2392,519955,193962
2393,519955,193962
2394,520082,194038
2395,520183,193584
2396,520020,192979
2397,520183,193584
2398,520183,193584
2399,520183,193584
2400,519783,193367
526,546749,186333
527,546841,186105
528,547016,186205
529,547016,186205
530,547016,186205
531,546778,185751
532,546715,185978
533,546749,186333
534,546666,186035
535,546841,186105
536,546778,185751
537,547204,186034
538,547083,185961
539,547165,186143
540,547391,186134
541,547001,186039
542,547165,186143
543,547001,186039
544,547167,186037
545,547001,186039
546,547298,186191
547,546627,185878
548,546356,185679
549,546627,185878
550,546492,185709
551,546650,185607
552,549759,185233
553,549884,184970
